Идентификатор,Корневой идентификатор,Наименование,Категория,"Повторное срок, часов",Повторное локация
39046,2077,"Аварийный провал грунта, асфальта",Благоустройство,24,адрес
39045,1853,"Благоустройство дворовой территории после проведенных ремонтных, строительных работ",Благоустройство,72,адрес
40442,1960,Благоустройство Другое,Благоустройство,-,-
39043,2226,Восстановление бордюрного камня (дворовая территория),Благоустройство,72,адрес
39042,2258,"Грязь, мусор на контейнерной площадке (дворовая территория)",Благоустройство,12,адрес
39052,2242,"Грязь, мусор, переполненные урны (дворовая территория)",Благоустройство,6,адрес
39041,2259,"Завезти, заменить песок в песочнице",Благоустройство,72,адрес
39040,1677,"Заказ бункера для вывоза строительного, крупногабаритного мусора",Благоустройство,-,-
39039,2520,"Замена, установка домовых знаков (указателей улицы, дома, подъезда)",Благоустройство,72,адрес
39038,2260,"Засор ливневой канализации, подтопление (дворовая территория)",Благоустройство,24,адрес
39037,2204,"Засохшие деревья, кустарники (сухостой)",Благоустройство,72,адрес
39036,2227,"Наклонившееся дерево, ветка",Благоустройство,72,адрес
39035,2517,"Несанкционированные объявления, надписи, рисунки (фасад, дворовая территория)",Благоустройство,24,адрес
39034,2292,"Открыть/закрыть вход на площадку (спортивную, для выгула собак)",Благоустройство,-,-
39033,2294,Переполненные мусорные контейнеры (дворовая территория),Благоустройство,12,адрес
39032,1859,"Просел, не зафиксирован люк, водоприемная решетка (дворовая территория)",Благоустройство,24,адрес
40760,40697,"Ремонт информационных табличек, знаков, стендов (дворовая территория)",Благоустройство,48,адрес
40517,40150,"Содержание, ремонт мусорных контейнеров, контейнерной площадки",Благоустройство,72,адрес
39031,2521,"Содержание, ремонт оборудования площадок (детская, спортивная, для выгула собак)",Благоустройство,12,адрес
40429,2293,"Содержание, ремонт объектов благоустройства (МАФ) на дворовой территории",Благоустройство,24,адрес
40397,40153,"Содержание, ремонт парковочных ограничителей, искусственных неровностей на дорогах",Благоустройство,48,адрес
39029,2061,"Убрать ветки, спил деревьев с земли",Благоустройство,24,адрес
39027,2194,Убрать упавшее дерево,Благоустройство,24,адрес
40762,40168,"Установка информационных табличек, знаков, стендов (дворовая территория)",Благоустройство,72,адрес
39026,1705,"Уход за деревьями, кустарниками (дворовая территория)",Благоустройство,72,адрес
39025,2011,"Уход за клумбой, цветником, газоном (дворовая территория)",Благоустройство,72,адрес
39024,2522,"Ямы, выбоины, повреждение покрытия проездов, тротуаров, дорожек (дворовая территория)",Благоустройство,72,адрес
40504,1961,Вентиляция Другое,Вентиляция,-,-
39060,2492,"Вызов специалиста для оказания консультации по вентиляции (вопросы замены, переноса, приобретения оборудования)",Вентиляция,72,адрес+кв.
40438,2333,Неисправность системы вентиляции в квартире,Вентиляция,72,адрес+кв.
40398,40138,Неисправность системы вентиляции в подъезде,Вентиляция,72,адрес+подъезд
39058,2171,"Проверка, прочистка дымохода (квартира с газовой колонкой, камином)",Вентиляция,72,адрес+кв.
39767,2049,Водосчетчики другое,Водосчетчики,-,-
39804,2493,"Вызов специалиста для оказания консультации по водосчетчикам (вопросы диагностики, замены, переноса, приобретения оборудования)",Водосчетчики,72,адрес+кв.
39805,1688,"Замена, установка, демонтаж водосчетчика",Водосчетчики,-,-
39806,1696,Поверка водосчетчика,Водосчетчики,-,-
18601,2317,Насекомые в общедомовых помещениях,Дезинсекция,72,адрес
37944,2318,Насекомые на дворовой территории,Дезинсекция,72,адрес
18594,2316,"Грызуны (крысы, мыши) в квартире",Дератизация,72,адрес+кв.
18595,2314,"Грызуны (крысы, мыши) в общедомовых помещениях",Дератизация,72,адрес
37945,2315,"Грызуны (крысы, мыши) на дворовой территории",Дератизация,72,адрес
39730,2190,Домофоны (запирающие устройства) Другое,Домофоны (запирающие устройства),-,-
37697,1903,"Заблокирована входная дверь подъезда, оборудованная домофоном, кодовым замком (на вход/выход)",Домофоны (запирающие устройства),-,-
37698,2395,"Заказать, восстановить магнитный ключ для домофона",Домофоны (запирающие устройства),72,адрес+кв.
37699,2397,"Замена, установка трубки домофона в квартире",Домофоны (запирающие устройства),-,-
39796,1759,"Неисправен доводчик, магнит входной двери с домофоном",Домофоны (запирающие устройства),72,адрес+подъезд
39797,1760,"Неисправен домофон, кодовый замок входной двери подъезда",Домофоны (запирающие устройства),72,адрес+подъезд
37706,2394,Неисправна трубка домофона в квартире,Домофоны (запирающие устройства),168,адрес+кв.
37707,2396,"Сообщить, заменить код домофона",Домофоны (запирающие устройства),-,-
39306,2067,Брошенный разукомплектованный автотранспорт,Другое,168,Адрес
39473,7907,"Ввод в эксплуатацию ИПУ воды (замена, демонтаж, пропуск межповерочного интервала)",Другое,-,-
40399,40111,Возобновление коммунальных услуг после оплаты задолженности,Другое,-,-
40408,2098,"Вызов техника-смотрителя, составление акта",Другое,72,адрес+кв.
16667,2183,"Грибок, плесень в квартире",Другое,720,адрес+кв.
39304,2249,"Достать упавшие вещи, предметы из помещения мусорокамеры",Другое,-,-
39833,1708,Другое,Другое,-,-
40407,40117,Нарушение тишины сотрудниками ЖКХ,Другое,-,-
39438,39271,"Некачественно произведенный капитальный ремонт (подъезд, квартира)",Другое,168,Адрес
39303,1695,Опломбировать водосчетчик,Другое,72,адрес+кв.
18678,2303,Оповещение от 112,Другое,-,-
39302,1850,"Открыт люк, водоприемная решетка",Другое,72,Адрес
39472,7906,Подача документов о поверке ИПУ воды в электронном виде,Другое,-,-
39301,2325,"Проникновение посторонних лиц на крышу, чердак, в подвал",Другое,-,-
39300,2184,"Разрушение, трещины в стене, полу, потолке (квартира)",Другое,168,адрес+кв.
39299,3963,Снять контрольные показания водосчетчика (акт),Другое,168,адрес+кв.
40611,40598,"Содержание, обслуживание подземного паркинга",Другое,24,Адрес
40409,39889,"Составление акта о повреждении имущества при проведении ремонтных, уборочных работ",Другое,-,-
40085,39276,"Течь в кабине, шахте лифта",Другое,24,адрес+подъезд
39807,1922,Требуется обеспечение водой (отсутствует холодная вода более 4 часов),Другое,-,-
40441,3964,"Требуются ремонтные, отделочные работы в квартире",Другое,-,-
40400,40160,Угроза повреждения имущества при проведении работ сотрудниками ЖКХ,Другое,-,-
39296,2233,"Хранение химических веществ, реагентов, строительных материалов в подъезде, во дворе",Другое,48,адрес+подъезд
39256,2090,"Шум, гул в подвале, на техническом этаже",Другое,48,Адрес
40086,39284,"Шум, гул в шахте лифта",Другое,48,Адрес
39810,1963,Зимние виды работ Другое,Зимние виды работ,-,-
40739,5947,"Избыточное, неравномерное применение противогололедных реагентов",Зимние виды работ,-,-
40740,2244,"Не залит, некачественно залит каток, хоккейная площадка",Зимние виды работ,-,-
40741,39881,"Складирование загрязненного снега на газоны, кустарники, под деревья",Зимние виды работ,-,-
40742,3395,"Снег, гололед в парковочных карманах (дворовая территория)",Зимние виды работ,-,-
40743,3397,"Снег, гололед в парковочных карманах (дороги)",Зимние виды работ,-,-
40744,2252,"Снег, гололед на детской площадке",Зимние виды работ,-,-
40745,3392,"Снег, гололед на пешеходных дорожках",Зимние виды работ,-,-
40746,2268,"Снег, гололед на площадке для выгула собак",Зимние виды работ,-,-
40747,3396,"Снег, гололед на площадке для отдыха",Зимние виды работ,-,-
40748,3394,"Снег, гололед на проезжей части (дворовая территория)",Зимние виды работ,-,-
40749,3393,"Снег, гололед на проезжей части (дороги)",Зимние виды работ,-,-
40750,2304,"Снег, гололед на спортивной площадке",Зимние виды работ,-,-
40751,3391,"Снег, гололед на тротуарах",Зимние виды работ,-,-
40752,2203,"Снег, гололед при входе в подъезд",Зимние виды работ,-,-
40753,39885,"Снег, лед на отмостке вокруг дома",Зимние виды работ,-,-
40754,2264,"Снег на катке, хоккейной площадке",Зимние виды работ,-,-
40755,2272,"Сосульки, снег на козырьке подъезда",Зимние виды работ,-,-
40756,2200,"Сосульки, снег на крыше, элементах фасада, водостоке",Зимние виды работ,-,-
40757,39898,"Сосульки, снег на проводах, уличных фонарях",Зимние виды работ,-,-
40505,39903,"Установить ограждение при проведении работ по очистке крыши, фасада от снега, сосулек",Зимние виды работ,-,-
40401,40114,"Достать упавшие предметы из системы слива раковины, ванны, унитаза",Канализация,-,-
40433,38008,"Замена, установка, перенос, ремонт канализационных труб",Канализация,-,-
40834,1925,Запах канализации в квартире,Канализация,48,адрес+кв.
40434,1924,"Запах канализации в подъезде (засор, течь лежака/стояка)",Канализация,24,адрес+подъезд
40349,38009,"Засор раковины, ванны (вода стоит, медленно уходит)",Канализация,72,адрес+кв.
37947,2222,"Засор унитаза (вода стоит, медленно уходит)",Канализация,72,адрес+кв.
40506,2256,Канализация Другое,Канализация,-,-
40422,2093,Прорыв системы канализации (дворовая территория),Канализация,24,адрес
37950,2189,"Сильная течь, прорыв канализационных труб, соединительных элементов (квартира)",Канализация,-,-
37949,1937,Сильная течь стояка канализации в техническом шкафу,Канализация,72,адрес+кв.
37951,2162,"Слабая течь канализационных труб, соединительных элементов (квартира)",Канализация,-,-
37952,1939,Слабая течь стояка канализации в техническом шкафу,Канализация,72,адрес+кв.
40350,38010,"Сложный засор раковины, ванны (перелив через край)",Канализация,72,адрес+кв.
39459,2209,Сложный засор унитаза (перелив через край чаши),Канализация,72,адрес+кв.
40430,2196,Течь сифона,Канализация,72,адрес+кв.
40507,1964,Кровля Другое,Кровля,-,-
39049,2053,"Повреждение, засор наружного водостока",Кровля,72,адрес
39048,1873,"Повреждение, протечка козырька подъезда",Кровля,168,адрес+подъезд
40420,2287,"Повреждение элементов кровли, крыши",Кровля,72,адрес
